FRA,HER
LED,HER
MRS,HER
MUC,HER
TLV,HER
TXL,HER
VIE,HER
ATH,IST
ATH,LED
HER,LED
ATH,LHR
ATH,LYS
ATH,MAD
ATH,MAN
ATH,MRS
HER,MRS
ATH,MUC
HER,MUC
ATH,MXP
ATH,OSL
ATH,OTP
ATH,PHL
ATH,PRG
ATH,TLV
HER,TLV
ATH,TXL
HER,TXL
ATH,VIE
HER,VIE
ATH,WAW
LIS,ZRH
LYS,BRU
LYS,FCO
BRU,LYS
FCO,LYS
MRS,LYS
MXP,LYS
PRG,LYS
VCE,LYS
LYS,MRS
LYS,MXP
LYS,PRG
LYS,VCE
LHR,AGP
JFK,AMM
ORD,AMM
YUL,AMM
LHR,AMS
PHL,AMS
LHR,ARN
LHR,ATH
PHL,ATH
CLT,ATL
DFW,ATL
LHR,ATL
MIA,ATL
ORD,ATL
PHL,ATL
PHX,ATL
CMB,AUH
DUS,AUH
IAD,AUH
JFK,AUH
LHR,AUH
MCT,AUH
ORD,AUH
JFK,BCN
LHR,BCN
MIA,BCN
PHL,BCN
KUL,BKK
NRT,BKK
LAX,BNE
MEL,BNE
SYD,BNE
DFW,BOG
MIA,BOG
LHR,BOM
CLT,BOS
CUN,BOS
DCA,BOS
DFW,BOS
JFK,BOS
LAX,BOS
LGA,BOS
LHR,BOS
MAD,BOS
MIA,BOS
NRT,BOS
ORD,BOS
PDX,BOS
PHL,BOS
PHX,BOS
SAN,BOS
SEA,BOS
LHR,BRU
PHL,BRU
CLT,BWI
DFW,BWI
JFK,BWI
LHR,BWI
MIA,BWI
ORD,BWI
PHL,BWI
PHX,BWI
CLT,CDG
DFW,CDG
JFK,CDG
KUL,CDG
LHR,CDG
MIA,CDG
ORD,CDG
PHL,CDG
ATL,CLT
BOS,CLT
BWI,CLT
CDG,CLT
CUN,CLT
DCA,CLT
DEN,CLT
DFW,CLT
DTW,CLT
DUB,CLT
EWR,CLT
FCO,CLT
FLL,CLT
FRA,CLT
GRU,CLT
IAD,CLT
IAH,CLT
JFK,CLT
LAS,CLT
LAX,CLT
LGA,CLT
LHR,CLT
MCO,CLT
MEX,CLT
MIA,CLT
MSP,CLT
MSY,CLT
ORD,CLT
PDX,CLT
PHL,CLT
PHX,CLT
SAN,CLT
SEA,CLT
SFO,CLT
SJU,CLT
SLC,CLT
STL,CLT
TPA,CLT
YUL,CLT
YYZ,CLT
AUH,CMB
LHR,CPH
BOS,CUN
CLT,CUN
DFW,CUN
JFK,CUN
MIA,CUN
ORD,CUN
PHL,CUN
PHX,CUN
BOS,DCA
CLT,DCA
DFW,DCA
DTW,DCA
FLL,DCA
JFK,DCA
LAS,DCA
LAX,DCA
LGA,DCA
MCO,DCA
MIA,DCA
MSP,DCA
MSY,DCA
ORD,DCA
PDX,DCA
PHL,DCA
PHX,DCA
SAN,DCA
STL,DCA
TPA,DCA
YUL,DCA
YYZ,DCA
LHR,DEL
CLT,DEN
DFW,DEN
LAX,DEN
LHR,DEN
MIA,DEN
ORD,DEN
PHL,DEN
PHX,DEN
SEA,DEN
ATL,DFW
BNE,DFW
BOG,DFW
BOS,DFW
BWI,DFW
CDG,DFW
CLT,DFW
CUN,DFW
DCA,DFW
DEN,DFW
DTW,DFW
EWR,DFW
FLL,DFW
FRA,DFW
GRU,DFW
HNL,DFW
IAD,DFW
