NAME,YEAR,STNELEV,LATITUDE,LONGITUDE,TEMP
MYSTIC_LAKE,1945,1994.6,45.2436,-109.7311,-3.03
NASHVILLE_INTL_AP,1945,182.9,36.1189,-86.6892,3.28
NEWARK_WATER_WKS,1945,254.5,40.0875,-82.4128,-6.86
NEWTON,1945,438.9,38.0344,-97.3431,-0.43
NEW_BRUNSWICK_3_SE,1945,26.2,40.4719,-74.4364,-4.14
PIERRE_RGNL_AP,1945,531.0,44.3814,-100.2856,-5.33
PRAIRIE_DU_CHIEN,1945,200.6,43.0514,-91.135,-9.46
ROCHESTER_INTL_AP,1945,397.5,43.9042,-92.4917,-11.66
SAINT_JOHNSBURY,1945,213.4,44.42,-72.0194,-12.945
SAN_DIEGO_LINDBERGH_FLD,1945,4.6,32.7336,-117.1831,12.12
SAULT_STE_MARIE,1945,192.0,46.4867,-84.4089,-13.92
SAULT_STE_MARIE_SANDERSON_FLD,1945,220.1,46.4794,-84.3572,-13.59
SAVANNAH_INTL_AP,1945,14.0,32.13,-81.21,10.16
SHERIDAN_CO_AP,1945,1202.4,44.7694,-106.9689,-4.47
SIOUX_FALLS,1945,435.9,43.5878,-96.7289,-6.88
SPRINGFIELD_CAPITAL_AP,1945,181.1,39.8447,-89.6839,-5.04
ST_CLOUD_RGNL_AP,1945,310.3,45.5433,-94.0514,-14.13
TIMBER_LAKE,1945,658.4,45.4283,-101.0764,-8.15
TRIBUNE_1W,1945,1108.3,38.4661,-101.7758,-1.75
WATERTOWN_RGNL_AP,1945,532.8,44.9047,-97.1494,-10.27
WAYNESVILLE_1_E,1945,810.2,35.4867,-82.9683,2.92
ALMA_BACON_CO_AP,1946,58.8,31.5358,-82.5067,11.81
BISMARCK,1946,505.4,46.7708,-100.7603,-10.51
BOSTON_LOGAN_INTL_AP,1946,3.7,42.3606,-71.0106,-2.6
BRISTOL_TRI_CITY_AP,1946,457.2,36.4731,-82.4044,3.62
BUTTE_BERT_MOONEY_AP,1946,1678.2,45.9647,-112.5006,-7.64
CHANUTE_MARTIN_JOHNSON_AP,1946,300.2,37.6703,-95.4842,0.64
CHEYENNE,1946,1867.8,41.1519,-104.8061,-2.43
CHICAGO_MIDWAY_AP_3SW,1946,189.0,41.7372,-87.7775,-2.11
CLEVELAND,1946,232.6,41.4131,-81.86,-1.43
CONCORDIA_MUNI_AP,1946,447.8,39.5514,-97.6508,-0.01
CONCORD_MUNI_AP,1946,105.5,43.1953,-71.5011,-7.03
DES_MOINES_INTL_AP,1946,291.7,41.5339,-93.6531,-4.18
ELY_YELLAND_FLD_AP,1946,1908.7,39.2953,-114.8467,-5.74
EVANSVILLE_REGIONAL_AP,1946,121.9,38.0442,-87.5206,0.91
FARGO_HECTOR_INTL_AP,1946,274.3,46.9253,-96.8111,-15.12
GALESBURG,1946,235.0,40.9464,-90.3856,-3.92
HAYS_1_S,1946,612.6,38.8586,-99.3358,1.56
ISLAND_PARK,1946,1917.2,44.4189,-111.3714,-12.73
JACKSON_EXP_STN,1946,121.9,35.6214,-88.8456,3.99
LANCASTER_4_WSW,1946,317.0,42.8278,-90.7889,-6.36
LANDER_HUNT_FLD_AP,1946,1704.4,42.8153,-108.7261,-4.19
LAPORTE,1946,257.6,41.6117,-86.7297,-3.38
LEWISBURG_EXP_STN,1946,239.9,35.4139,-86.8086,3.82
LONGMIRE_RAINIER_NPS,1946,841.9,46.7492,-121.812,-1.08
LONGMIRE_RAINIER_NPS,1946,841.9,46.75,-121.8167,-1.03
MACON_MIDDLE_GA_RGNL_AP,1946,104.5,32.6847,-83.6528,9.64
MILES_CITY_F_WILEY_FLD,1946,799.8,46.4267,-105.8825,-4.33
MOBILE,1946,63.4,30.6794,-88.2397,10.62
MT_WASHINGTON,1946,1910.2,44.2667,-71.2994,-15.91
MYSTIC_LAKE,1946,1994.6,45.2436,-109.7311,-5.09
NASHVILLE_INTL_AP,1946,182.9,36.1189,-86.6892,5.08
NEWARK_WATER_WKS,1946,254.5,40.0875,-82.4128,-2.03
NEWTON,1946,438.9,38.0344,-97.3431,0.77
NEW_BRUNSWICK_3_SE,1946,26.2,40.4719,-74.4364,0.36
PIERRE_RGNL_AP,1946,531.0,44.3814,-100.2856,-5.83
PRAIRIE_DU_CHIEN,1946,200.6,43.0514,-91.135,-5.4
ROCHESTER_INTL_AP,1946,397.5,43.9042,-92.4917,-9.25
SAINT_JOHNSBURY,1946,213.4,44.42,-72.0194,-9.575
SAN_DIEGO_LINDBERGH_FLD,1946,4.6,32.7336,-117.1831,12.57
SAULT_STE_MARIE,1946,192.0,46.4867,-84.4089,-9.01
SAULT_STE_MARIE_SANDERSON_FLD,1946,220.1,46.4794,-84.3572,-8.7
SAVANNAH_INTL_AP,1946,14.0,32.13,-81.21,11.72
SHERIDAN_CO_AP,1946,1202.4,44.7694,-106.9689,-2.97
SIOUX_FALLS,1946,435.9,43.5878,-96.7289,-8.35
SPRINGFIELD_CAPITAL_AP,1946,181.1,39.8447,-89.6839,-1.21
ST_CLOUD_RGNL_AP,1946,310.3,45.5433,-94.0514,-12.59
TIMBER_LAKE,1946,658.4,45.4283,-101.0764,-6.69
TRIBUNE_1W,1946,1108.3,38.4661,-101.7758,-0.88
WATERTOWN_RGNL_AP,1946,532.8,44.9047,-97.1494,-11.97
WAYNESVILLE_1_E,1946,810.2,35.4867,-82.9683,2.84
ALMA_BACON_CO_AP,1947,58.8,31.5358,-82.5067,14.24
BISMARCK,1947,505.4,46.7708,-100.7603,-6.91
BOSTON_LOGAN_INTL_AP,1947,3.7,42.3606,-71.0106,-0.25
BRISTOL_TRI_CITY_AP,1947,457.2,36.4731,-82.4044,6.21
BUTTE_BERT_MOONEY_AP,1947,1678.2,45.9647,-112.5006,-10.36
CHANUTE_MARTIN_JOHNSON_AP,1947,300.2,37.6703,-95.4842,0.0
CHEYENNE,1947,1867.8,41.1519,-104.8061,-3.04
CHICAGO_MIDWAY_AP_3SW,1947,189.0,41.7372,-87.7775,-1.01
CLEVELAND,1947,232.6,41.4131,-81.86,0.39
CONCORDIA_MUNI_AP,1947,447.8,39.5514,-97.6508,-0.98
CONCORD_MUNI_AP,1947,105.5,43.1953,-71.5011,-5.54
DES_MOINES_INTL_AP,1947,291.7,41.5339,-93.6531,-2.21
ELY_YELLAND_FLD_AP,1947,1908.7,39.2953,-114.8467,-6.36
EVANSVILLE_REGIONAL_AP,1947,121.9,38.0442,-87.5206,3.21
FARGO_HECTOR_INTL_AP,1947,274.3,46.9253,-96.8111,-10.62
GALESBURG,1947,235.0,40.9464,-90.3856,-3.04
HAYS_1_S,1947,612.6,38.8586,-99.3358,-1.08
ISLAND_PARK,1947,1917.2,44.4189,-111.3714,-14.96
JACKSON_EXP_STN,1947,121.9,35.6214,-88.8456,5.38
LANCASTER_4_WSW,1947,317.0,42.8278,-90.7889,-5.47
LANDER_HUNT_FLD_AP,1947,1704.4,42.8153,-108.7261,-6.89
LAPORTE,1947,257.6,41.6117,-86.7297,-2.58
LEWISBURG_EXP_STN,1947,239.9,35.4139,-86.8086,6.43
LONGMIRE_RAINIER_NPS,1947,841.9,46.7492,-121.812,-3.18
LONGMIRE_RAINIER_NPS,1947,841.9,46.75,-121.8167,-3.17
MACON_MIDDLE_GA_RGNL_AP,1947,104.5,32.6847,-83.6528,10.34
MILES_CITY_F_WILEY_FLD,1947,799.8,46.4267,-105.8825,-5.9
MOBILE,1947,63.4,30.6794,-88.2397,12.52
MT_WASHINGTON,1947,1910.2,44.2667,-71.2994,-13.81
MYSTIC_LAKE,1947,1994.6,45.2436,-109.7311,-7.39
NASHVILLE_INTL_AP,1947,182.9,36.1189,-86.6892,7.08
NEWARK_WATER_WKS,1947,254.5,40.0875,-82.4128,0.29
NEWTON,1947,438.9,38.0344,-97.3431,-0.26
NEW_BRUNSWICK_3_SE,1947,26.2,40.4719,-74.4364,2.66
PIERRE_RGNL_AP,1947,531.0,44.3814,-100.2856,-4.93
PRAIRIE_DU_CHIEN,1947,200.6,43.0514,-91.135,-4.29
ROCHESTER_INTL_AP,1947,397.5,43.9042,-92.4917,-7.23
SAINT_JOHNSBURY,1947,213.4,44.42,-72.0194,-7.9399999999999995
SAN_DIEGO_LINDBERGH_FLD,1947,4.6,32.7336,-117.1831,11.13
SAULT_STE_MARIE,1947,192.0,46.4867,-84.4089,-8.22
SAULT_STE_MARIE_SANDERSON_FLD,1947,220.1,46.4794,-84.3572,-7.97
SAVANNAH_INTL_AP,1947,14.0,32.13,-81.21,14.22
SHERIDAN_CO_AP,1947,1202.4,44.7694,-106.9689,-4.17
SIOUX_FALLS,1947,435.9,43.5878,-96.7289,-5.55
SPRINGFIELD_CAPITAL_AP,1947,181.1,39.8447,-89.6839,-0.04
ST_CLOUD_RGNL_AP,1947,310.3,45.5433,-94.0514,-8.47
TIMBER_LAKE,1947,658.4,45.4283,-101.0764,-6.3
TRIBUNE_1W,1947,1108.3,38.4661,-101.7758,-0.7
WATERTOWN_RGNL_AP,1947,532.8,44.9047,-97.1494,-7.12
WAYNESVILLE_1_E,1947,810.2,35.4867,-82.9683,5.98
ALMA_BACON_CO_AP,1948,58.8,31.5358,-82.5067,7.67
BISMARCK,1948,505.4,46.7708,-100.7603,-11.35
BOSTON_LOGAN_INTL_AP,1948,3.7,42.3606,-71.0106,-5.37
BRISTOL_TRI_CITY_AP,1948,457.2,36.4731,-82.4044,-0.91
BUTTE_BERT_MOONEY_AP,1948,1678.2,45.9647,-112.5006,-8.79
CHANUTE_MARTIN_JOHNSON_AP,1948,300.2,37.6703,-95.4842,-4.21
CHEYENNE,1948,1867.8,41.1519,-104.8061,-4.35
CHICAGO_MIDWAY_AP_3SW,1948,189.0,41.7372,-87.7775,-6.92
CLEVELAND,1948,232.6,41.4131,-81.86,-6.64
CONCORDIA_MUNI_AP,1948,447.8,39.5514,-97.6508,-3.84
CONCORD_MUNI_AP,1948,105.5,43.1953,-71.5011,-9.83
DES_MOINES_INTL_AP,1948,291.7,41.5339,-93.6531,-6.23
ELY_YELLAND_FLD_AP,1948,1908.7,39.2953,-114.8467,-1.54
EVANSVILLE_REGIONAL_AP,1948,121.9,38.0442,-87.5206,-4.04
FARGO_HECTOR_INTL_AP,1948,274.3,46.9253,-96.8111,-16.72
GALESBURG,1948,235.0,40.9464,-90.3856,-6.82
HAYS_1_S,1948,612.6,38.8586,-99.3358,-2.23
ISLAND_PARK,1948,1917.2,44.4189,-111.3714,-12.31
JACKSON_EXP_STN,1948,121.9,35.6214,-88.8456,-1.54
LANCASTER_4_WSW,1948,317.0,42.8278,-90.7889,-10.75
